2Path,Title,Event,UserAgent,Browser,System,Session,Bot,Referrer,Referrer scheme,Screen size,Location,FirstVisit,Date
/,Home | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.102 Safari/537.36",Chrome 85,Linux ,bfb4fe919ffd4e2f-94d9276269d50919,0,,,"1920,1080,1",BR-CE,1,2021-05-04T19:29:20Z
/,Home | Lulu space,0,Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0,Firefox 78,Windows 10,9e119502afe74383-a5caa6d303fe3487,0,,,"1800,900,1",AT,1,2021-05-04T19:31:24Z
/,Home | Lulu space,0,Mozilla/5.0 (Windows NT 10.0; rv:78.0) Gecko/20100101 Firefox/78.0,Firefox 78,Windows 10,f7f7275c929b4d7e-8bd8ee20464d6b0e,0,startpage.com,h,"1800,900,1",AT,1,2021-05-04T19:33:09Z
/,Home | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 PTST/210429.152038",Chrome 90,Linux ,cb9fe450a3404a10-a72602b329620644,8,,,"1920,1200,1",US-MD,1,2021-05-04T19:50:52Z
/,Home | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 PTST/210429.152038",Chrome 90,Linux ,4f0fb49aade34d3a-961f5aac345571b7,8,,,"1920,1200,1",US-VA,1,2021-05-04T19:50:53Z
/,Home | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 PTST/210429.152038",Chrome 90,Linux ,1a0bf82a19e0416f-85bfca3fccac6009,8,,,"1920,1200,1",US-VA,1,2021-05-04T19:50:54Z
/tecnologia/2016/02/17/importacaoexportacao-de-vms-no-xenserver-6-5.html,Importação/Exportação de VMs no XenServer 6.5 | Lulu space,0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome 90,Windows 10,84e2c500ed894015-8bc379f471d80c72,0,Google,g,"1397,786,1.375",BR-DF,1,2021-05-04T23:59:20Z
/tecnologia/2016/02/17/resizing-vdisks-vdis-xenserver-6-5.html,Resizing vDisks (VDIs) – XenServer 6.5 | Lulu space,0,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534+ (KHTML, like Gecko) BingPreview/1.0b",BingPreview 1.0,Windows 7,a14bf2ca78b8431c-9a3d501554d98936,5,,,"800,600,1",US-IL,1,2021-05-05T09:26:40Z
/en/technology/2020/06/07/pgp-form.html,Using PGP encryption in an HTML form | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome 90,Linux ,a3efe0ff115b45ed-80ff225d24829775,0,,,"3840,2160,1",UA-32,1,2021-05-05T12:34:45Z
/en/technology/2020/06/07/pgp-form.html,Using PGP encryption in an HTML form | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome 90,Linux ,11f5e46cba2d45c8-8356d126f0d81f52,0,,,"3840,2160,1",UA-32,1,2021-05-05T12:40:22Z
/en/technology/2020/06/07/pgp-form.html,Using PGP encryption in an HTML form | Lulu space,0,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",Chrome 90,Linux ,1a00c6c04b744690-838194a982b0ecd6,0,,,"3840,2160,1",UA-32,1,2021-05-05T12:45:37Z
